电影名,电影id,年代,时光评分,评论人数,导演,编剧,类型,国家地区,发行公司,片长,上映日期,剧情介绍,主演
"燃冬

(
2023
)",274203,2023,0,37人评分,陈哲艺,陈哲艺,爱情/剧情,中国,,97分钟,8月22日2023年,2022年冬天，女孩娜娜与两个朋友结伴而行，从城市游览到冰天雪地里北方的森林，度过了一个自由而怅然的周末。,"周冬雨DongyuZhou
刘昊然HaoranLiu
屈楚萧ChuXiaoQu"
"欢乐好声音

(
2016
)",229728,2016,7.8,"2,717人评分",加斯·詹宁斯,加斯·詹宁斯,动画/家庭/歌舞,日本,环球影业UnitedInternationalPictures(UIP)FinnkinoOy,110分钟,2月17日2017年,马修·麦康纳配音的考拉从小怀揣音乐梦，受父亲资助买下一家剧院惨淡经营，房租小姐天天上门追债，他决定举办一次选秀力挽狂澜，以求得到关注和资助。在奖金与梦想的双重指引下，动物居民纷纷一展歌喉。奇葩海选后，与男友在音乐创作上持巨大分歧的摇滚叛逆少女豪猪艾希、不愿与老爹为伍的黑帮二代公子大猩猩强尼、生了25个猪仔想要摆脱平淡生活的主妇露西塔、不穿亮片紧身衣热歌劲舞就觉得将在舞台失去光芒的公猪韩特、自私油滑的老鼠迈克、以及身患舞台恐惧症的小象米娜入围，他们各自怀揣生活难题，随着演出的筹备、出现意外、反转，最终达成与自身、亲情、家庭的和解。《欢乐好声音》就是动物界的“达人秀”和“好声音”，虽然剧情套路满满，仍不失为一部美好的动画。,"马修·麦康纳MatthewMcConaughey
饰?考拉月伯乐

瑞茜·威瑟斯彭ReeseWitherspoon
饰?猪妈妈露西塔

塔伦·埃格顿TaronEgerton
饰?猩猩强尼

斯嘉丽·约翰逊ScarlettJohansson
饰?豪猪艾希"
"北京2022

(
2023
)",273815,2023,0,5人评分,陆川,,纪录片/剧情/运动,中国,北京耀影电影发行有限公司,103分钟,5月19日2023年,《北京2022》为北京冬奥会官方电影，讲述了中国为举办冬奥会举国上下齐心协力，全面兑现申办承诺的真实故事。影片故事以“北京——铸造赛场”和“运动员——回归赛场”为主线，讲述那些怀揣梦想的“冬奥人”，在漫长的筹办、备战和等待中，用努力和坚持克服各种困难，实现突破和超越，最终圆梦冬奥的故事，在弘扬奥林匹克精神的同时，彰显人类共同合作和团结向前的重大意义。,
"老师，别哭

(
2023
)",274861,2023,0,1人评分,梁明,,剧情,中国,,96分钟,9月9日2023年,即将毕业的大学生贾思婷，意外成为了广东韶关一个小山村的支教老师，彼时正值韶关银杏染秋的时节，大片金灿灿的银杏叶与宁静乡村相映衬，让刚一进山的贾思婷目酣神醉。可当她来到支教的小学时却傻眼了，原来这个学校一共只有五名学生，还是多个年级合在一个班上课，这可让贾思婷乱了阵脚。在校长的安排下，贾思婷还不得不和一个叫石头的学生成为室友，而这个安排又引发了二人之间一连串啼笑皆非的“战争”。在与石头的斗法过程中贾思婷节节败退，干脆向校长提出了辞职，可是校长的一番话却让贾思婷改变了心意。在之后的支教时光中，贾思婷和孩子们慢慢走进了彼此的内心，这段山中生活和孩子们的笑脸，也潜移默化地改变了贾思婷的人生轨迹。,"董钒
王浩宇WangHaoyu"
"新大头儿子和小头爸爸4：完美爸爸

(
2021
)",267672,2021,0,13人评分,何澄,,动画/奇幻/冒险,中国,五洲电影发行有限公司上海鑫岳影视传播股份有限公司上海禧优文化传媒有限公司,85分钟,7月9日2021年,为满足大头儿子的愿望，小头爸爸编写的人工AI程序产生了bug，儿子被程序中的“完美爸爸”绑架到了虚拟世界，最终父子二人携手一起打败了AI爸爸，回到了现实世界中来……,
"八千里路云和月

(
1947
)",10164,1947,0,43人评分,史东山,史东山,爱情,中国,,124分钟,1月1日1947年,女学生江玲玉，家住江西，在上海某大学就读，寄居姨母家。抗日战争爆发，玲玉不顾姨母和表兄周家荣的阻止，毅然参加救亡演剧队，沿京沪线宣传抗日。不久，她与同队青年音乐家高礼彬相爱。随着战争发展，演剧队长途跋涉，辗转湘桂黔，到达重庆。这时周家荣假公务之名，来重庆做投机生意，以金钱为饵纠缠玲玉，被玲玉拒绝。抗战胜利后，玲玉与礼彬成婚。周家荣摇身变为“接收大员”，返沪前寻访玲玉，欲携同行，得知玲玉已婚，悻悻而去。玲玉与礼彬复员回沪，无处栖身，不得已仍寄居姨母家。周家荣靠“接收”大发横财，礼彬和玲玉则一贫如洗，幸得老友夏光原相助，租得一间阁楼栖身。礼彬当小学教师，玲玉在一家报社任记者。不久，礼彬因营养不良和过度疲劳，患了肺病，玲玉怀孕后仍坚持工作。一夜，大雨倾盆，玲玉准备写稿揭发周家荣“劫收”的罪恶，因体力不支，回家途中晕倒街头。礼彬和演剧队员们四出寻找，后得悉玲玉已被送往医院，即赶赴医院探视。玲玉已早产，医嘱需长期休养。大家面面相觑，不知如何是好。,"白杨YangBai
陶金JinTao
石羽YuShi
周峰FengZhou"
"望道

(
2023
)",270531,2023,0,27人评分,侯咏,贺子壮宋晋川侯咏,剧情/历史,中国,,112分钟,3月24日2023年,从日本留学归来的陈望道接下了翻译《共产党宣言》的任务，从此改变了人生轨迹；陈独秀、俞秀松、施存统、经亨颐、戴季陶、蔡慕晖等历史人物一一出场。历经时代动荡变革，友朋或牺牲或离去，陈望道面临生死抉择的考验。,"刘烨YeLiu
胡军JunHu
文咏珊JaniceMan
王锵QiangWang"
"摇钱树

(
1937
)",44406,1937,0,12人评分,谭友六,夏衍,,中国,,,,吴葆三家道中落，成为酒徒，被泼辣的妻子朱氏骂为不务正业。女儿美玲是小学教师，其同事龙鲤门喜欢她，她则不予理会。儿子一清曾因参战导致一条腿残废，也成日呆在家中。律师崔法罗垂涎美玲美貌，正巧葆三叔父病死无后，他诈称其叔父有巨额遗产，若他出面可尽归葆三。一家人信以为真，对其竭力巴结，只有一清明白是诈骗。美玲被法罗骗身怀孕，法罗在逃走时将一清推下楼摔死。讨债者纷纷上门，鲤门欲与美玲修好，知其有孕终一怒而去。,"舒绣文XiuwenShu
郑君里JunliZheng
尤光照GuangzhaoYou
韩兰根LangenHan"
"欢乐丛林之外星人大冒险

(
2023
)",274180,2023,0,1人评分,邢海顺,,中国,中国,,,7月15日2023年,外星人福恩特着陆地球，他本来要来征服地球的，当他在丛林的小伙伴感召下学会了爱与关怀之后，深深地爱上了这片土地，为了这里的生物不被自己的父亲俘获，他同小伙伴一起反抗自己的父亲，并最终用爱化解了一切危机。本片由邢海顺任编剧，著名配音演员李凤良为猴子蒙奇配音。,李凤良FengliangLi
"阿依达

(
2017
)",269061,2017,0,0人评分,TizianoMancini,AntonioGhislanzoni,2D,意大利,,148分钟,,古埃及法老王时代，古埃及和埃塞俄比亚战事又起，埃及战将拉达梅斯出征，迎战埃塞俄比亚国王阿摩纳斯洛。埃及公主安奈瑞斯爱恋拉达梅斯，拉达梅斯则爱着女奴阿依达。安奈瑞斯对女奴阿依达的身份充满了疑虑，其实阿依达正是埃塞俄比亚国王之女。拉达梅斯凯旋，阿依达在战俘中发现父亲。除了阿依达父女，埃及王将战俘一概释放，同时宣布安奈瑞斯许配给拉达梅斯。阿依达决定和拉达梅斯见最后一面，见面前，阿摩纳斯洛劝女儿获取机密。拉达梅斯泄露军机后，阿摩纳斯洛突然出现并亮明身份，但却在逃亡时被大祭司撞个正着。拉达梅斯最终被判活埋，阿依达不愿苟生，决心与拉达梅斯相伴。一对恋人拥抱着，灵魂飞上天国。,克里斯汀·刘易斯ChristineLewis
"踢球吧少年

(
2023
)",274818,2023,0,1人评分,郝鸿远,,家庭/喜剧/运动,中国,,91分钟,9月8日2023年,,"贾冰
冯文娟WenjuanFeng
岳骁恪
常远YuanChang"
"夜店

(
1948
)",44295,1948,0,27人评分,黄佐临,柯灵,剧情,中国,,187分钟,,“闻家店”是上海的一个下等客店，里面住着形形色色的小人物。“闻家店”的店主闻太师阴险吝啬，老板娘赛观音很放荡，她与小偷杨七郎曾有私情，但杨七郎后来喜欢上了赛观音淳朴善良的妹妹石小妹，赛观音因此经常折磨小妹。杨七郎看到店中房客们的悲惨遭遇大受震动，决定重新做人。此时赛观音和情夫小方密谋毒死闻太师，卖掉石小妹，而闻太师却以为杨七郎和妻子仍有来往便向巡捕房告发了杨七郎，回到店中时，他看到正准备离开的杨七郎和石小妹，两人打斗之时，闻太师毒发身亡，杨七郎被当作凶手抓进监狱，石小妹被卖到妓院，绝望的石小妹自杀身亡。,"周璇XuanZhou
张伐FaZhang
石挥HuiShi
石羽YuShi"
"方珍珠

(
1952
)",36756,1952,0,17人评分,徐昌霖,,,中国,,,,,"陶金JinTao
顾也鲁YeluGu
孙景璐JingluSun
顾而已EryiGu"
"穿越烽火

(
2023
)",274584,2023,0,1人评分,胡永芳,,纪录片,中国,,88分钟,6月28日2023年,本片通过讲述中国共产党领导下的第一部纪录电影的拍摄故事，展现一群怀揣电影梦、救国梦的艺术家是如何在延安精神的感召下、在共产党的领导下，如何穿越烽火，逐渐成长为坚定的共产主义战士、新中国电影事业的奠基人,"王仁君RenjunWang
褚栓忠ShuanzhongChu
曹磊LeiCao
杨斯BoloYeung"
"纯洁心灵·逐梦演艺圈

(
2017
)",223782,2017,2.6,620人评分,毕志飞,毕志飞,剧情,中国,中国电影集团公司美亚长城传媒（北京）有限公司,95分钟,,海亚影视学院（虚构）近些年已经跻身国内著名影视院校的行列，其表演系2010级本科班，学生形象、艺术条件都格外突出，从入校伊始就备受学校师生关注，被誉为“准明星班”。班主任文天阳年青英俊，刚刚硕士毕业留校，认真负责。班里共有17名学生，8男9女，家庭背景、成长经历、性格各异：有的学生家里条件优越，有奢华海边别墅、游艇与跑车；有的学生是普通工薪阶层的子女；还有学生来自落后偏远山区的少数民族；还有学生是单亲家庭的问题子女……能在千军万马中成功杀出而考取表演专业，是备受人们关注的。他们是天之骄子，热情澎湃，都在自己最美好的青春年华，为自己的美好梦想奋斗着……演员是一个相对被动的职业，经常需要见组和推销自己，学习表演专业的学生也难免要比普通专业学生与社会有更多、更早的接触。城市中有着很多诱惑，影视圈也同样复杂，他们的青春美貌也吸引了形形色色的人士们的目光。文老师与自己的学生们在四年的历程中曾经沮丧过、伤心过甚至大痛过，但是青春这趟旅程，含着眼泪也要向前！他们决心闯入演艺圈并有所作为……,"毕志飞ZhiFeiBi
饰?文天阳

朱哲健ZhejianZhu
饰?何小宇

李彦漫YanmanLi
饰?俸艾依

陈思瀚SihanChen
饰?成曳"
"龙须沟

(
1952
)",37437,1952,7.5,50人评分,冼群,,剧情,中国,,110分钟,,解放前的老北京城，天桥东边有一条臭水沟——龙须沟。生活在最底层的穷苦劳动人民沿着臭水沟两岸安家落户，这群被剥夺了尊严的人们在迫害、屈辱、疾病和死亡的夹逼中艰难求生。百姓们喝不上自来水，只能饮井里的苦水，上趟厕所还得跑半里地。每当雨季到来，臭水沟的水高涨泛滥，进入贫民的家中，臭不可闻，苦不堪言。被人喊成“疯子”的老艺人程宝庆（于是之饰）落魄愤懑，他依靠老婆程娘子（于蓝饰）卖香烟度日，最喜欢丁家那个灵巧可爱的姑娘小妞子。非人的旧社会，让人看不到未来的希望。转眼迎来了解放，龙须沟的百姓总算迎来翻身做主人的新天地……,"张伐FaZhang
陈世温ShiwenChen
黎频PinLi
刘节JieLiu"
"乌鸦与麻雀

(
1949
)",13895,1949,7.9,204人评分,郑君里,陈白尘沈浮王林谷,,中国,InternationalFilmCircuit,,,影片故事发生在1948年冬天上海的一幢弄堂房子里。小官僚侯义伯非法霸占了这所房子，把原房主孔有文赶到咫尺之地的后客堂，他自己和姘妇余小瑛住在二楼。政府摇摇欲坠，侯义伯急于把房子顶出去好捞几个钱逃命。这件事引起房客们的恐慌，大家忙想办法对付。但与世无争的孔有文不敢挺身收回房子，华先生也自视清高不肯领头，肖老板自愿出头却碰了钉子。大家只好各自为谋。肖太太把仅有的首饰和盘尼西林针药押给侯义伯，借钱轧黄金，想发财顶房子，结果夫妻二人反被打伤；华先生想搬到学校去，校长用房子收买他，他拒绝了，却被以鼓励学潮的罪名被捕人狱；华太大女儿生病，向侯义伯求援反遭调戏……种种事实的教训，使被侯义伯逼得无路可走的人们终于起来进行斗争。侯义伯这时听到政府分崩离析的消息。狼狈地逃跑了。除夕夜，孔有文收回了自己的房子，大家热热闹闹聚在一起吃年夜饭。,"赵丹DanZhao
吴茵YingWu
上官云珠YunzhuShangguang
魏鹤龄HelingWei"
"龙虾

(
2015
)",209099,2015,7.3,"1,355人评分",欧格斯·兰斯莫斯,艾锡米斯·费利珀欧格斯·兰斯莫斯,爱情/惊悚/剧情,爱尔兰,HautetCourtElementPicturesDistributionPicturehouseEntertainment,90分钟,10月16日2015年,未来反乌托邦社会中，单身有罪！一群单身男女被关进城中酒店，他们必须在45天内找到一个匹配的伴侣，失败者将变成一种自选的动物，流放进大森林。一个绝望的男人从酒店逃入森林，并在这个孤独者们生存的地盘坠入爱河，自然，他成了忤逆之人。,"柯林·法瑞尔ColinFarrell
饰?大卫

蕾切尔·薇兹RachelWeisz
饰?近视女人

蕾雅·赛杜LéaSeydoux
饰?孤独者领袖

本·威士肖BenWhishaw
饰?瘸脚男"
"万家灯火

(
1948
)",13897,1948,8.5,86人评分,沈浮,沈浮阳翰笙,剧情,中国,,120分钟,,一个小康之家，因为母亲和兄弟的投奔，日子变的艰难起来，家人之间也开始闹起了矛盾。,"上官云珠YunzhuShangguang
吴茵YingWu
蓝马MaLan
沈扬YangShen"
"永恒的一天

(
1998
)",12489,1998,8.4,589人评分,西奥·安哲罗普洛斯,西奥·安哲罗普洛斯托尼·诺格拉PetrosMarkaris,英国,希腊,AFMD人造眼ArtisticLicense,,10月16日1998年,老作家亚历山大为完成19世纪诗人拜伦未完成的诗作，虽已病入膏肓，仍决定展开他一天的追寻母语和回忆之旅。途中他解救了一个阿尔巴尼亚孤儿，决定把他送回家，而男孩也帮助他完成了心愿，两人在一天中竟然成为忘年交，亚历山大最终回到家时才发现一天原来也是永恒的。,"布鲁诺·甘茨BrunoGanz
法布瑞齐奥·班提佛格里欧FabrizioBentivoglio
伊莎贝拉·雷纳德IsabelleRenauld
DespinaBebedelli"
"我痴呆了，请多关照！

(
2018
)",265296,2018,0,3人评分,NaokoNobutomo,NaokoNobutomo,纪录片,日本,Netzgen,102分钟,11月3日2018年,今年日本优秀纪录片电影候选----优秀纪录片作家信友直子将镜头对准自己老年痴呆的母亲和耳朵不好的父亲，记录下了他们美好的1200天。本片或将成为今年的，2018年11月日本公映。,
"一江春水向东流

(
1947
)",26069,1947,8.1,248人评分,蔡楚生,蔡楚生郑君里,剧情,中国,,210分钟,10月27日2017年,上海某纱厂的女工素芬和夜校教师张忠良相识并相爱。张忠良为宣传抗日，给义勇军募捐，引起纱厂温经理的不满。没多久，素芬和忠良结婚了，一年后有了一个儿子。抗战全面爆发以后，忠良因参加救护队离开了上海，与亲人告别。素芬带着孩子、婆婆回到乡下。但农村已被日寇侵占。忠良的弟弟忠民和教师婉华参加了抗日游击队。父亲因向日寇要求减少征收粮食，被吊死。素芬又和儿子、婆婆回到上海，到了难民事务所。忠良在参加抗战过程中历尽磨难，好容易逃出到了重庆，但无依无靠，为生活所迫，他去找在抗战前认识的温经理的小姨王丽珍。已成交际花的王丽珍在干爸庞浩公的公司里给忠良找了份工作。渐渐地，忠良经不起堕落生活的诱惑，终于和王丽珍结了婚。这时，素芬和婆婆则过着艰难的生活。忠良当上了庞浩公的私人秘书，终日来往穿梭于上层社会的人群中，将素芬等早已抛置脑后。而抗战胜利后，素芬还盼望着得到丈夫的消息。忠良回到上海后又和王丽珍的表姐何文艳发生了关系。素芬为养家糊口，到何文艳家做了女佣。一次在何文艳举行的晚宴上，素芬认出了丈夫忠良，当她说出真相时语惊四座。后素芬收到忠民的来信，忠民已与婉华结婚，并祝兄嫂全家幸福。这时，素芬才将实情告诉婆婆。张母找到儿子，当面痛斥忠良，但懦弱的忠良仍不悔改，素芬万般无奈，投河自尽了。,"白杨YangBai
陶金JinTao
上官云珠YunzhuShangguang
舒绣文XiuwenShu"
"狼与羊

(
2016
)",235738,2016,0,1人评分,AndreyGalat,1kgSugar尼尔·朗道马克西姆·斯韦什尼科夫,动画/奇幻/家庭,俄罗斯,KinoSwiatNasheKino,97分钟,4月22日2016年,,"JBBlanc
汤姆·费尔顿TomFelton
罗斯·马昆德RossMarquand
琪娜·安妮·麦克兰ChinaAnneMcClain"
"汪汪队立大功之超能救援

(
2020
)",268902,2020,0,35人评分,,安迪·格尔达史蒂夫·苏利文,动画/冒险/儿童,加拿大,中国电影集团公司中国电影股份有限公司,89分钟,11月13日2020年,精通科技的10岁男孩莱德在拯救了6条小狗之后，将他们训练成了一组本领高强的狗狗巡逻队。每个小狗都性格鲜明，也各有特长。不管遇到多么困难和危险的救援任务，他们还总是忘不了相互玩闹，制作轻松的气氛，而每次幽默乐观的狗狗能总能顺利完成任务。,"麦克斯·卡林内斯库MaxCalinescu
饰?阿奇

德文·科恩DevanCohen
饰?小砾

德鲁·戴维斯DrewDavis
饰?毛毛"
"命中注定与你为敌

(
2023
)",274529,2023,0,0人评分,,,中国,中国,,,6月16日2023年,,
"午夜迷途

(
2020
)",268131,2020,0,0人评分,张若以,张若以肖青龙,惊悚/恐怖,中国,,73分钟,,,"廖越YueLiao
郭万超
罗世平ShipingLuo
施彦YanShi"
"看不见的他们

(
2023
)",274797,2023,0,0人评分,李飞,,家庭/惊悚/恐怖,中国,,88分钟,8月22日2023年,,"毛凡MichaelMao
陈晓霞XiaoxiaChen
苏俊宇JunyuSu"
"银河铁道999

(
1979
)",76666,1979,0,21人评分,林太郎,市川昆石森史郎TrishLedoux,日本,日本,NelsonEntertainmentNewWorldPicturesSultanVideo,,8月4日1979年,在遥远的未来，人类世界已经高度文明化，智能机器人早已成为了现实，人类为了获得永生，就将自己改造成为机器人。就在这时，一列名为“银河铁道999号”的宇宙列车穿梭于宇宙间，星球之间的距离不再遥远。少年星野铁郎希望搭上“银河铁道999号”宇宙列车，达到可以获得免费改造成机械身体权利的安达罗星云，以挽救被机器伯爵杀害的母亲，期间，他遇到了机械伯爵的养女梅蒂尔，并与其展开一段奇异旅程。,"野泽雅子MasakoNozawa
池田昌子MasakoIkeda
麻上洋子Y?koAsagami
麻生美代子MiyokoAs?"
